file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000065_000000000078.dimacs;0.02;78;20;11;12;1;OK;;;
1-random/000065_000000000390.dimacs;0.01;390;547;59;60;1;OK;;;
1-random/000070_000000000084.dimacs;0.01;84;21;12;13;1;OK;;;
1-random/000070_000000000420.dimacs;0.01;420;539;60;61;1;OK;;;
1-random/000075_000000000090.dimacs;0.01;90;33;13;14;1;OK;;;
1-random/000075_000000000450.dimacs;0.01;450;682;68;69;1;OK;;;
1-random/000080_000000000096.dimacs;0.01;96;24;13;27;1;OK;;;
1-random/000080_000000000480.dimacs;0.01;480;777;73;74;1;OK;;;
1-random/000085_000000000102.dimacs;0.01;102;36;16;17;1;OK;;;
1-random/000085_000000000510.dimacs;0.02;510;843;76;77;1;OK;;;
1-random/000090_000000000108.dimacs;0.01;108;38;17;42;1;OK;;;
1-random/000090_000000000540.dimacs;0.01;540;825;78;79;1;OK;;;
1-random/000095_000000000114.dimacs;0.01;114;46;18;19;1;OK;;;
1-random/000095_000000000570.dimacs;0.01;570;1022;86;87;1;OK;;;
1-random/000100_000000000120.dimacs;0.01;120;51;20;21;1;OK;;;
1-random/000100_000000000600.dimacs;0.01;600;1151;95;96;1;OK;;;
1-random/000200_000000000240.dimacs;0.01;240;166;38;39;1;OK;;;
1-random/000200_000000001200.dimacs;0.03;1200;4537;194;195;1;OK;;;
1-random/000300_000000000360.dimacs;0.01;360;387;58;59;1;OK;;;
1-random/000300_000000001800.dimacs;0.07;1800;11129;296;297;1;OK;;;
1-random/000400_000000000480.dimacs;0.01;480;552;78;79;1;OK;;;
1-random/000400_000000002400.dimacs;0.11;2400;18594;392;393;1;OK;;;
1-random/000500_000000000600.dimacs;0.01;600;1271;100;101;1;OK;;;
1-random/000500_000000003000.dimacs;0.17;3000;30730;498;499;1;OK;;;
1-random/000600_000000000720.dimacs;0.01;720;1694;119;120;1;OK;;;
1-random/000600_000000003600.dimacs;0.25;3600;43303;593;594;1;OK;;;
1-random/000700_000000000840.dimacs;0.02;840;2395;140;141;1;OK;;;
1-random/000700_000000004200.dimacs;0.34;4200;58018;692;693;1;OK;;;
1-random/000800_000000000960.dimacs;0.02;960;3292;160;161;1;OK;;;
1-random/000800_000000004800.dimacs;0.45;4800;75159;795;796;1;OK;;;
1-random/000900_000000001080.dimacs;0.03;1080;3671;180;181;1;OK;;;
1-random/000900_000000005400.dimacs;0.56;5400;96355;892;893;1;OK;;;
1-random/001000_000000001200.dimacs;0.03;1200;4388;199;200;1;OK;;;
1-random/001000_000000006000.dimacs;0.77;6000;116702;989;990;1;OK;;;
2-social-networks/00-karate.graph.dimacs;0.02;34;78;14;15;1;OK;;;
2-social-networks/01-dolphins.graph.dimacs;0.02;62;159;34;216;1;OK;;;
2-social-networks/02-chesapeake.graph.dimacs;0.02;39;170;22;28;1;OK;;;
2-social-networks/03-adjnoun.graph.dimacs;0.03;112;425;59;687;1;OK;;;
2-social-networks/04-polbooks.graph.dimacs;0.02;105;441;62;672;1;OK;;;
2-social-networks/05-football.graph.dimacs;;115;613;0;;0;;;;
2-social-networks/06-celegans_metabolic.graph.dimacs;;453;2025;0;;0;;;;
2-social-networks/07-jazz.graph.dimacs;;198;2742;0;;0;;;;
2-social-networks/08-netscience.graph.dimacs;0.04;1589;2742;899;900;1;OK;;;
2-social-networks/09-email.graph.dimacs;;1133;5451;0;;0;;;;
2-social-networks/10-add20.graph.dimacs;;2395;7462;0;;0;;;;
2-social-networks/11-power.graph.dimacs;;4941;6594;0;;0;;;;
3-medium-sized/vc001.dimacs;;6160;40207;0;;0;;;;
3-medium-sized/vc003.dimacs;Command terminated by signal 11 10.60;60541;48418;1;;1;Not a VC: ;;;
3-medium-sized/vc005.dimacs;53.35;200;798;129;1924870;1;OK;;;
3-medium-sized/vc007.dimacs;;8794;10121;0;;0;;;;
3-medium-sized/vc009.dimacs;Command terminated by signal 11 35.55;38452;174645;1;;1;Not a VC: ;;;
3-medium-sized/vc011.dimacs;;9875;25973;0;;0;;;;
