file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
2-social-networks/00-karate.graph.dimacs;0.00;34;78;14;87;1;OK;OK;0;
2-social-networks/01-dolphins.graph.dimacs;0.06;62;159;34;29600;1;OK;OK;0;
2-social-networks/02-chesapeake.graph.dimacs;0.02;39;170;22;587;1;OK;OK;0;
2-social-networks/03-adjnoun.graph.dimacs;16.17;112;425;59;7718530;1;OK;OK;0;
2-social-networks/04-polbooks.graph.dimacs;9.28;105;441;62;5037352;1;OK;OK;0;
2-social-networks/05-football.graph.dimacs;;115;613;0;;0;;;;
2-social-networks/06-celegans_metabolic.graph.dimacs;;453;2025;0;;0;;;;
2-social-networks/07-jazz.graph.dimacs;;198;2742;0;;0;;;;
2-social-networks/08-netscience.graph.dimacs;;1589;2742;0;;0;;;;
2-social-networks/09-email.graph.dimacs;;1133;5451;0;;0;;;;
2-social-networks/10-add20.graph.dimacs;;2395;7462;0;;0;;;;
2-social-networks/11-power.graph.dimacs;;4941;6594;0;;0;;;;
2-social-networks/12-uk.graph.dimacs;;4824;6837;0;;0;;;;
2-social-networks/13-add32.graph.dimacs;;4960;9462;0;;0;;;;
1-random/000002_000000000002.dimacs;0.01;2;0;0;0;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.01;12;10;2;3;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.02;4;0;0;0;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.00;24;20;4;5;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.00;7;1;1;2;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.00;36;30;4;5;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.00;9;1;1;2;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.00;48;40;7;8;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.01;12;2;2;3;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.01;60;50;10;11;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.00;14;2;1;2;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.00;72;60;11;12;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.01;16;2;2;3;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.00;84;70;13;14;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.02;19;3;1;2;1;OK;OK;0;
1-random/000016_000000000096.dimacs;0.01;96;80;15;16;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.01;21;3;2;3;1;OK;OK;0;
1-random/000018_000000000108.dimacs;0.00;108;91;15;16;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.02;24;4;2;3;1;OK;OK;0;
1-random/000020_000000000120.dimacs;0.00;120;101;18;19;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.01;26;4;3;4;1;OK;OK;0;
1-random/000022_000000000132.dimacs;0.00;132;112;19;20;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.01;28;4;4;5;1;OK;OK;0;
1-random/000024_000000000144.dimacs;0.02;144;124;22;24;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.00;31;6;5;7;1;OK;OK;0;
1-random/000026_000000000156.dimacs;0.00;156;131;23;24;1;OK;OK;0;
1-random/000028_000000000033.dimacs;0.02;33;8;4;5;1;OK;OK;0;
1-random/000028_000000000168.dimacs;0.01;168;152;26;28;1;OK;OK;0;
1-random/000030_000000000036.dimacs;0.01;36;8;5;6;1;OK;OK;0;
1-random/000030_000000000180.dimacs;0.01;180;167;27;29;1;OK;OK;0;
1-random/000035_000000000042.dimacs;0.00;42;7;6;7;1;OK;OK;0;
1-random/000035_000000000210.dimacs;0.03;210;202;26;27;1;OK;OK;0;
1-random/000040_000000000048.dimacs;0.00;48;19;7;9;1;OK;OK;0;
1-random/000040_000000000240.dimacs;0.01;240;244;35;38;1;OK;OK;0;
